soz_id,sozum,atara,anlami,anahtar,turu2,gosterim_tarihi
2741,(birinin) ağzını kullanmak (satmak), birinin ağzını kullanmak satmak ağızI,birinin söylediklerinin aynısını söylemek.,ağız(I),Deyim,
2742,(birinin) ağzını tıkamak, birinin ağzını tıkamak ağızI,"sözünü kesmek, susturmak.",ağız(I),Deyim,
2743,(birinin) ağzının içine bakmak, birinin ağzının içine bakmak ağızI,1) ne söyleyeceğini beklemek; 2) onun sözüne göre davranmak.,ağız(I),Deyim,
2744,(birinin) ağzının içine girmek, birinin ağzının içine girmek ağızI,"1) çok yanaşmak, iyice sokulmak; 2) hayranlıkla, büyük bir zevkle seyredip dinlemek.",ağız(I),Deyim,
2745,(birinin) ağzının kokusunu çekmek, birinin ağzının kokusunu çekmek ağız kokusu,bir kimsenin çekilmez davranışlarına katlanmak.,ağız kokusu,Deyim,
2746,(birinin) ağzının kokusunu çekmek, birinin ağzının kokusunu çekmek ağızI,"birinin her türlü isteğine, kaprisine boyun eğmek:<i> 'Onca yıl gurbetin kahrını, gâvurun ağzının kokusunu çekmiştik.' -</i>M. İzgü.",ağız(I),Deyim,
2747,(birinin) ahı tutmak, birinin ahı tutmak ah,birinin ilenmeleri gerçekleşmek.,ah,Deyim,
2748,(birinin) ahı yerde kalmamak, birinin ahı yerde kalmamak ah,yaptığı ilenme er geç etkisini göstermek.,ah,Deyim,
2749,(birinin) ahını almak, birinin ahını almak ah,ah almak:<i> Ana baba ahını almak doğru değildir.</i>,ah,Deyim,
2750,(birinin) ak dediğine kara demek, birinin ak dediğine kara demek ak,inatçılık ederek karşısındaki ile anlaşmaya yanaşmamak.,ak,Deyim,
2751,(birinin) aklına koymak, birinin aklına koymak akıl,"bir kimse birine, bir şey telkin etmek.",akıl,Deyim,
2752,(birinin) aklını çelmek, birinin aklını çelmek akıl,"1) niyetinden, kararından caydırmak:<i> 'Böyle olursa zamanla kızının aklını çelmek kolaylaşırdı.' -</i>N. Cumalı. 2) ayartmak, baştan çıkarmak:<i> 'Hasan gelip Reha Bey'in, beni filan gazinoda beklediğini söyleyerek aklımı çeliyordu.' -</i>O. C. Kaygılı.",akıl,Deyim,
2753,(birinin) aklını karıştırmak, birinin aklını karıştırmak akıl,"birini ne yapacağını bilemez duruma getirmek, şaşırtmak, bocalatmak.",akıl,Deyim,
2754,(birinin) aleyhine dönmek, birinin aleyhine dönmek aleyh,destek vermekten vazgeçip karşı duruma geçmek.,aleyh,Deyim,
2755,(birinin) alnını karışlamak, birinin alnını karışlamak alın,küçümseyerek meydan okumak.,alın,Deyim,
2756,(birinin) anası ağlamak, birinin anası ağlamak ana,"çok sıkıntı çekmek, eziyet çekmek, bitkin duruma gelmek.",ana,Deyim,
2757,(birinin) anasını ağlatmak, birinin anasını ağlatmak ana,"<i> kaba</i> bir kimseye çok eziyet etmek, çok sıkıntı çektirmek:<i> 'Kim ona yan bakarsa kemiklerini kırar, anasını ağlatırım.' -</i>H. E. Adıvar.",ana,Deyim,
2758,(birinin) arkasını sıvamak, birinin arkasını sıvamak arka,"okşamak, övmek, iltifat etmek.",arka,Deyim,
2759,(birinin) ateşine yanmak, birinin ateşine yanmak ateş,bir kimse yüzünden zarara uğramak.,ateş,Deyim,
2760,(birinin) ayağına gitmek, birinin ayağına gitmek ayak,alçak gönüllülük ederek veya saygı göstererek birinin yanına varmak.,ayak,Deyim,
2761,(birinin) ayağının türabı olmak, birinin ayağının türabı olmak ayak,"bir kimse başka bir kimseye kul gibi bağlanıp onun her emrini yerine getirmek:<i> 'Ayağınızın türabıyım, çakeriniz efendimizi dünyada bırakmam.' -</i>M. Ş. Esendal.",ayak,Deyim,
2762,(birinin) bam teline basmak (dokunmak), birinin bam teline basmak dokunmak bam teli,"en çok kızacağı şeyi yapmak veya sözü söylemek:<i> 'Firuzan bam teline basıyor, aksi sesler çıkarıyor.' -</i>H. E. Adıvar.",bam teli,Deyim,
2763,(birinin) baş (başının) belası olmak, birinin baş başının belası olmak baş belası,"sıkıntı, üzüntü, eziyet vermek:<i> 'Benim bir köpeğim vardır. Başımın belası!' -</i>S. F. Abasıyanık.",baş belası,Deyim,
2764,(birinin) başı için, birinin başı için başI,"'çocuğumuzun başı için, annenizin başı için' vb. sözlerde değerli bir kişi ortaya konarak kullanılan ant veya yalvarma sözü:<i> 'Aman Ali Bey'in başı için beni ele vermeyin.' -</i>M. C. Kuntay.",baş(I),Deyim,
2765,(birinin) başına çalmak, birinin başına çalmak başI,"bir şeyi öfkeyle, nefretle geri vermek.",baş(I),Deyim,
2766,(birinin) başına çıkmak, birinin başına çıkmak başI,"birinden yüz bulup ona karşı pek şımarıkça davranmak:<i> 'Hizmetçi kadınlarla içli dışlı olmamak, onlara mesafeli davranmak gerekirdi, yoksa başınıza çıkarlardı.' -</i>T. Uyar.",baş(I),Deyim,
2767,(birinin) başına çorap örmek, birinin başına çorap örmek başI,"birine, haberi olmadan kötü duruma düşürücü davranışta bulunmak:<i> 'Ya başına bir çorap ördürüsrse?' -</i>O. Kemal.",baş(I),Deyim,
2768,(birinin) başına dikilmek, birinin başına dikilmek başI,"1) birinin yanından uzaklaşmamak, onu denetim altında bulundurmak; 2) bir işi yaptırmak için yanında ayakta durmak; 3) bir şeyin yanında ve ayakta beklemek:<i> 'Gidip iskelenin başına dikiliyor gelen yolcuyu buyur etmek için.' -</i>Z. Selimoğlu.",baş(I),Deyim,
2769,(birinin) başına ekşimek, birinin başına ekşimek başI,1) ağır yük olmak; 2) üstüne kalmak.,baş(I),Deyim,
2770,(birinin) başına gaile açmak, birinin başına gaile açmak başI,"sıkıntı yaratmak, üzüntü vermek:<i> 'Devletin başına sayısız gaileler açmak yolunda hiçbir fırsatı kaçırmadı.' -</i>S. Ayverdi.",baş(I),Deyim,
2771,(birinin) başına geçmek, birinin başına geçmek başI,"en üstün yeri almak, önderlik yapmak:<i> 'Onları bahçeye toplayarak başlarına geçerek akşama kadar âdeta kudurturdum.' -</i>R. N. Güntekin.",baş(I),Deyim,
2772,(birinin) başına gelmek, birinin başına gelmek başI,"beklenmedik, şaşırtıcı bir olay veya durumla karşılaşmak:<i> 'Onu dinledikten sonra olanaklı olduğunca ilişkimizi gizleyerek Mine'nin başına gelenleri anlatıyorum.' -</i>A. Ümit.",baş(I),Deyim,
2773,(birinin) başına kâhya kesilmek, birinin başına kâhya kesilmek başI,olur olmaz her işine karışmak.,baş(I),Deyim,
2774,(birinin) başına kalmak, birinin başına kalmak başI,istemediği hâlde bir işi yapmak veya bir kimseye bakmak zorunluluğu ile karşılaşmak:<i> 'Adam yüzüstü bırakıp gidince böyle bir numara çevirip başına kalmayı deniyor anlaşılan.' -</i>E. Bener.,baş(I),Deyim,
2775,(birinin) başında değirmen çevirmek, birinin başında değirmen çevirmek başI,gürültü ile tedirgin etmek.,baş(I),Deyim,
2776,(birinin) başını istemek, birinin başını istemek başI,öldürülmesini istemek.,baş(I),Deyim,
2777,(birinin) başını nâra yakmak, birinin başını nâra yakmak başI,birini ağır bir zarara uğratmak.,baş(I),Deyim,
2778,(birinin) başını yemek, birinin başını yemek başI,"güç duruma düşmesine yol açmak:<i> 'Birbirlerinden şüphelensinler, birbirlerinin başını yesinler.' -</i>N. Hikmet.",baş(I),Deyim,
2779,(birinin) başının etini yemek, birinin başının etini yemek başI,"karşısındakini bezdirinceye, bıktırıncaya kadar sürekli konuşmak veya söylemek:<i> 'Köyde patladığını telefonlarla, telgraflarla bana bildirerek başımın etini yiyen sen değil misin?' -</i>N. F. Kısakürek.",baş(I),Deyim,
2780,(birinin) bedduasını almak, birinin bedduasını almak beddua,biri tarafından kendisine ilenilmek.,beddua,Deyim,
2781,(birinin) bıraktığı (bağladığı) yerde (çayırda) otlamak, birinin bıraktığı bağladığı yerde çayırda otlamak bırakmak,"<i> hlk.</i> uzun süredir hiçbir ilerleme veya değişim gösterememek:<i> 'Tek suçu, kendini yeni devre uyduramayışı, bıraktığım yerde otluyormuş, ne bileyim.' -</i>E. Işınsu.",bırakmak,Deyim,
2782,(birinin) bir dediğini iki etmemek, birinin bir dediğini iki etmemek bir,her istediğini hemen yapmak:<i> 'Bu adamın bir dediğini iki etmediği genç bir sevgilisi varmış.' -</i>A. Kulin.,bir,Deyim,
2783,"(birinin, bir işin) ardına (arkasına) düşmek", birinin bir işin ardına arkasına düşmek art,"arkasından gitmek, peşini bırakmamak:<i> 'Muhatabı da olmayan gecikmiş hesapların ardına düşüyordu.' -</i>M. Mungan.",art,Deyim,
2784,(birinin) bir sözünü (dediğini) iki etmemek, birinin bir sözünü dediğini iki etmemek bir,"birinin her istediğini hemen yerine getirmek:<i> 'Maliye müfettişi sizin beyin mektep arkadaşıymış. Sözünden çıkmaz, bir dediğini iki etmezmiş. O isterse arkasından söyler, kocamı kurtarır.' -</i>R. N. Güntekin.",bir,Deyim,
2785,(birinin bir şey) gözünü bağlamak, birinin bir şey gözünü bağlamak göz,"doğruyu bulamaz, düşünemez duruma getirmek.",göz,Deyim,
2786,"(birinin, bir şeyin) akıbetine uğramak", birinin bir şeyin akıbetine uğramak akıbet,birinin içinde bulunduğu kötü duruma benzer bir duruma düşmek:<i> 'Ben Kristof Kolomb'un akıbetine uğramak istemiyorum.' -</i>S. F. Abasıyanık.,akıbet,Deyim,
2787,"(birinin, bir şeyin) peşinde olmak", birinin bir şeyin peşinde olmak peşI,o şeyi çok istemek:<i> O şimdi koltuk peşinde.</i>,peş(I),Deyim,
2788,"(birinin, bir şeyin) tiryakisi olmak", birinin bir şeyin tiryakisi olmak tiryaki,"bir şeye veya birine çok düşkün olmak:<i> 'Artık birbirimizin tiryakisi olmuştuk.' -</i>Y. Z. Ortaç.<i> 'Açık söyleyeyim, ben parasızlığın tiryakisi bile oldum.' -</i>P. Safa.",tiryaki,Deyim,
2789,"(birinin, birilerinin) ağzına düşmek", birinin birilerinin ağzına düşmek ağızI,dile düşmek:<i> 'Doğrusu ben ne güzelliğimin ne de ilmimin kimsenin ağzına düşmesine razı değilim.' -</i>E. İ. Benice.,ağız(I),Deyim,
2790,"(birinin, birilerinin) takdirini kazanmak", birinin birilerinin takdirini kazanmak takdir,bir kimse veya bir topluluk tarafından beğenilmek:<i> 'İhtimal ki senin alın yazında şunlar yazılıydı: Âlemin saygı ve takdirini kazanmış bir adam olacaksın.' -</i>Y. K. Karaosmanoğlu.,takdir,Deyim,
2791,(birinin) bokunda boncuk bulmak, birinin bokunda boncuk bulmak bok,<i> kaba</i> birine hak etmediği hâlde çok değer vermek.,bok,Deyim,
2792,(birinin) borusu ötmek, birinin borusu ötmek boru,"<i> hlk.</i> sözü geçmek, yetkisi olmak.",boru,Deyim,
2793,(birinin) borusunu çalmak, birinin borusunu çalmak boru,çıkar sağladığı kimsenin davasını gütmek.,boru,Deyim,
2794,(birinin) burnuna girmek, birinin burnuna girmek burun,birine çok sokulmak.,burun,Deyim,
2795,(birinin) burnundan ayrılmamak, birinin burnundan ayrılmamak burun,"yanından gitmemek, uzaklaşmamak:<i> 'Demesin ki gece gündüz kızın burnundan ayrılmıyor.' -</i>M. Ş. Esendal.",burun,Deyim,
2796,(birinin) can damarına basmak, birinin can damarına basmak can damarı,bir işin en önemli yönü üzerinde durmak.,can damarı,Deyim,
2797,(birinin) canı yok mu?, birinin canı yok mu? can,"birinin katlandığı sıkıntıyı başkalarına örnek göstermek için söylenen bir söz:<i> Onun canı yok mu, sabahtan beri çalışıyor.</i>",can,Deyim,
2798,(birinin) canına susamak, birinin canına susamak can,birini öldürmeyi istemek.,can,Deyim,
2799,(birinin) canını acıtmak, birinin canını acıtmak can,"birine acı vermek:<i> 'Korku, canını acıtacak, elle tutulur gözle görülür bir madde oldu.' -</i>N. Hikmet.",can,Deyim,
2800,(birinin) cemaziyelevvelini bilmek, birinin cemaziyelevvelini bilmek cemaziyelevvel,"bir kimsenin herkesçe bilinmeyen, geçmişteki her türlü yönünü veya kötü durumunu bilmek.",cemaziyelevvel,Deyim,
2801,(birinin) cesaretini kırmak, birinin cesaretini kırmak cesaret,"yürekliliğini gidermek, korkutmak:<i> 'Zekânız size yardım etmez, bilakis cesaretinizi kırar.' -</i>R. H. Karay.",cesaret,Deyim,
2802,(birinin) ciğerine işlemek, birinin ciğerine işlemek ciğer,"1) kötü söz, kötü davranış çok dokunmak, etkilemek; 2) kötü koku rahatsız etmek:<i> 'Tezek kokusu burnumun direğini kırmış, ciğerime işlemişti.' -</i>B. R. Eyuboğlu.",ciğer,Deyim,
2803,(birinin) ciğerini okumak, birinin ciğerini okumak ciğer,"onun aklından geçenleri, gizli düşüncelerini bilmek:<i> 'Mademki ... her baktığı insanın ciğerini dahi okuyordu, nasıl olup da etrafını saran mideci dalkavukların ikiyüzlülüğünü anlayamıyordu?' -</i>H. Taner.",ciğer,Deyim,
2804,(birinin) ciğerini sökmek, birinin ciğerini sökmek ciğer,bir kimseyi çok büyük zararlara uğratmak.,ciğer,Deyim,
2805,(birinin) ciğerini yakmak, birinin ciğerini yakmak ciğer,bir kimseye büyük bir acı çektirmek.,ciğer,Deyim,
2806,(birinin) ciğerinin içini bilmek, birinin ciğerinin içini bilmek ciğer,"çok yakından tanımak, her türlü düşüncesini bilmek:<i> 'Ben böylelerinin ciğerinin içini bilirim, dedi. Bu kız hanım ölürse belki beni alır diye ümitlendi.' -</i>R. N. Güntekin.",ciğer,Deyim,
2807,(birinin) çalımından geçilmemek, birinin çalımından geçilmemek çalım,"çok kurumlu olmak, çok çalımlı olmak.",çalım,Deyim,
2808,(birinin) çanına ot tıkmak (tıkamak), birinin çanına ot tıkmak tıkamak çan,"sesini çıkaramayacak, kötülük edemeyecek bir duruma getirmek, susturmak:<i> 'İsterseniz çanıma ot tıkar, beni mahvedersiniz.' -</i>O. Kemal.",çan,Deyim,
2809,(birinin) çenesini açtırmak, birinin çenesini açtırmak çene,söz fırsatı vermek:<i> 'Büyük hanım gece erken yatıp kocasının çenesini açtırmamak için şimdi öğle yemeklerinden sonra biraz kestiriyormuş.' -</i>M. Ş. Esendal.,çene,Deyim,
2810,(birinin) çenesini bıçak açmamak, birinin çenesini bıçak açmamak çene,sıkıntı ve üzüntüden konuşamamak:<i> 'Hiçbirimizin çenesini bıçak açmıyordu.' -</i>Y. K. Karaosmanoğlu.,çene,Deyim,
2811,(birinin) çukurunu kazmak, birinin çukurunu kazmak çukur,birinin felaketine yol açacak bir düzen kurmak.,çukur,Deyim,
2812,(birinin) damarını bulmak, birinin damarını bulmak damar,hoşlanabileceği biçimde davranıp uysallığını sağlamak.,damar,Deyim,
2813,(birinin) dediğine gelmek, birinin dediğine gelmek demek,birinin düşüncesini önce kabul etmezken sonradan doğru bulup kabul etmek.,demek,Deyim,
2814,(birinin) derdi başından aşkın (olmak), birinin derdi başından aşkın olmak dert,"1) birçok sorunu bulunmak:<i> 'Kendi derdimiz başımızdan aşkın, bir de başkasının derdi ile uğraşacak vaktimiz yok.' -</i>H. Taner. 2) aşırı derecede meşgul olmak:<i> 'Benim derdim başımdan aşkın, bir de onunla uğraşamam şimdi.' -</i>A. Ümit.",dert,Deyim,
2815,(birinin) derdi günü, birinin derdi günü dert,"çok ilgilenilen, üzerinde çok düşünülen şey:<i> 'Onun derdi günü roman okumak! Dağ başındasın / Derdin günün hasretlik / Akşam olmuş / Güneş batmış / İçmeyip de ne halt edeceksin?' -</i>O. V. Kanık.",dert,Deyim,
2816,(birinin) derdini deşmek (depreştirmek), birinin derdini deşmek depreştirmek dert,derdini hatırlatıp yeniden üzülmesine yol açmak.,dert,Deyim,
2817,(birinin) diline düşmek, birinin diline düşmek dilI,yermek veya alay etmek amacıyla birinin kötü veya yanlış davranışını sürekli söylemek:<i> 'Mahallede acubelerin diline düşmekten korkuyorum.' -</i>P. Safa.,dil(I),Deyim,
2818,(birinin) dilini bağlamak, birinin dilini bağlamak dilI,"bir kimseyi herhangi bir sebeple söz söyleyemez duruma getirmek, susmak zorunda bırakmak:<i> 'Ortağım burada kocama basmış büyüyü, basmış büyüyü. Dilini, ağzını bağlamış adamcağızın.' -</i>R. N. Güntekin.",dil(I),Deyim,
2819,(birinin) dişini sökmek, birinin dişini sökmek diş,kötülük edemeyecek duruma getirmek.,diş,Deyim,
2820,(birinin) dizginini çekmek, birinin dizginini çekmek dizgin,birinin aşırı davranışlarına engel olmak.,dizgin,Deyim,
2821,(birinin) dizginini kesmek, birinin dizginini kesmek dizgin,üzerindeki baskıyı artırmak.,dizgin,Deyim,
2822,(birinin) dizlerine kapanmak, birinin dizlerine kapanmak diz,çok yalvarmak.,diz,Deyim,
2823,(birinin) düğününde kalburla (elekle) su taşımak, birinin düğününde kalburla elekle su taşımak düğün,bir yardımına karşılık olarak bekâr bir kimseye çok büyük bir yardımda bulunma sözü vermek.,düğün,Deyim,
2824,(birinin) dümen suyunda gitmek, birinin dümen suyunda gitmek dümen suyu,"birine bağımlı olmak, her şeyde ona uyarak davranmak.",dümen suyu,Deyim,
2825,(birinin) dümenini bozmak, birinin dümenini bozmak dümen,<i> argo</i> hileli işe engel olmak:<i> 'Müdür beyin onların dümenini bozabilecek bir kudreti olmadığı belliydi.' -</i>K. Korcan.,dümen,Deyim,
2826,(birinin) ekmeğine yağ sürmek, birinin ekmeğine yağ sürmek ekmekI,"istemediği hâlde birinin işine yarayacak biçimde davranmak:<i> 'Bu name, cumhuriyetçilerin ekmeğine yağ sürdü.' -</i>N. F. Kısakürek.",ekmek(I),Deyim,
2827,(birinin) ekmeğiyle oynamak, birinin ekmeğiyle oynamak ekmekI,geçim kaynağını tehlikeye düşürmek.,ekmek(I),Deyim,
2828,(birinin) eli ayağı (olmak), birinin eli ayağı olmak elI,"yardımcısı (olmak), her işine yarar (olmak).",el(I),Deyim,
2829,(birinin) elinde ... var, birinin elinde ... var elI,"yapar, bilir, bulundurur:<i> Elinde güzel bir mesleği var.</i>",el(I),Deyim,
2830,(birinin) elinden (bir şey) düşmemek, birinin elinden bir şey düşmemek elI,"bir şeyle sürekli ilgilenmek:<i> 'Hiç keser, çapa elinden düşmüyordu, yeri kazıyor kazıyordu.' -</i>M. İzgü.",el(I),Deyim,
2831,(birinin) eline bakmak, birinin eline bakmak elI,"1) bir kimsenin yardımıyla geçinmek:<i> 'Bir senedir burada oturuyorlar, o küçüğün eline bakıyorlar.' -</i>P. Safa. 2) 'ne getirdi' diye gözlemek.",el(I),Deyim,
2832,(birinin) eline kalmak, birinin eline kalmak elI,"ondan başka yardım edeni olmamak, yalnız ona muhtaç olmak.",el(I),Deyim,
2833,(birinin) eline su dökemez, birinin eline su dökemez elI,'değerce ondan çok geride' anlamında kullanılan bir söz.,el(I),Deyim,
2834,(birinin) elini kolunu bağlamak, birinin elini kolunu bağlamak elI,bir şey yapamayacak duruma getirmek.,el(I),Deyim,
2835,(birinin) emrine girmek, birinin emrine girmek emir,bir kimsenin buyruğu altında bulunmayı kabul etmek.,emir,Deyim,
2836,(birinin) ensesine yapışmak, birinin ensesine yapışmak ense,"yakalayıp sıkıştırmak:<i> 'Polisler ikametgâhsız diye ensene yapışırlar, seni deliğe tıkarlar.' -</i>Y. K. Beyatlı.",ense,Deyim,
2837,(birinin) eteğini toplamak, birinin eteğini toplamak etek,"1) birinin derli toplu olmasını sağlamak, birini düzenli yaşatmak:<i> 'Senin eteğini toplamaktan hamur açacak zamanı mı var onun?' -</i>A. Kulin. 2) birinin kötü yaptığı işleri düzeltmek.",etek,Deyim,
2838,(birinin) etrafında dört dönmek (pervane olmak), birinin etrafında dört dönmek pervane olmak etraf,isteğini elde etmek için birinin yanından ayrılmayıp gönlünü etmeye çalışmak.,etraf,Deyim,
2839,(birinin) fikrini almak, birinin fikrini almak fikir,fikir almak.,fikir,Deyim,
2840,(birinin) fikrini çelmek, birinin fikrini çelmek fikir,"kandırmak, düşüncesini değiştirtmek, ikna etmek:<i> 'Belki bir yolunu buluruz da kızın fikrini çeleriz, diyormuş.' -</i>S. F. Abasıyanık.",fikir,Deyim,
2841,(birinin) geçmişlerini karıştırmak, birinin geçmişlerini karıştırmak geçmiş,1) birinin ölmüşlerini yermek veya onlara sövmek; 2) geçmişini araştırmak.,geçmiş,Deyim,
2842,(birinin) geçtiği yoldan geçmek, birinin geçtiği yoldan geçmek geçmek,"daha önce aynı olayları yaşamış olmak, deneyimli olmak:<i> 'Onun geçtiği yollardan geçtiğim için tahminlerim biraz daha kolaylaşıyor.' -</i>H. Taner.",geçmek,Deyim,
2843,(birinin) gemisi şapa oturmak, birinin gemisi şapa oturmak gemi,"iş, düzelemeyecek kadar bozulmak.",gemi,Deyim,
2844,(birinin) gırtlağına basmak, birinin gırtlağına basmak gırtlak,birine bir şey yaptırmak için dayatmak veya inat etmek.,gırtlak,Deyim,
2845,(birinin) gırtlağına sarılmak, birinin gırtlağına sarılmak gırtlak,"peşini bırakmamak, musallat olmak:<i> 'Şimdiye kadar bana iki paralık faydan dokundu mu ki her gün alacaklı gibi gırtlağıma sarılıyorsun!' -</i>R. N. Güntekin.",gırtlak,Deyim,
2846,(birinin) gönlü ile oynamak, birinin gönlü ile oynamak gönül,sever görünüp eğlenmek.,gönül,Deyim,
2847,(birinin) gönlünü etmek (yapmak), birinin gönlünü etmek yapmak gönül,"birini razı ve hoşnut etmek:<i> 'Ben patronun gönlünü ederim, hafta arasında.' -</i>N. Cumalı.",gönül,Deyim,
2848,(birinin) gönlünü hoş etmek, birinin gönlünü hoş etmek gönül,"birinin dileğini yerine getirerek onu sevindirmek:<i> 'Feride, çocukların birini bırakıp ötekini alıyor, hepsinin sıra ile gönlünü hoş etmek istiyordu.' -</i>R. N. Güntekin.",gönül,Deyim,
2849,(birinin) gözlerine mil çekmek, birinin gözlerine mil çekmek göz,birinin gözlerini kızgın mille kör etmek.,göz,Deyim,
2850,(birinin) gözü önünde, birinin gözü önünde göz önünde,"yanında, yakınında:<i> 'Çocukluğundan beri onun bir siniri de aydınlıkta başkasının gözü önünde uyumaktı.' -</i>R. N. Güntekin.",göz önünde,Deyim,
2851,(birinin) gözüne girmek, birinin gözüne girmek göz,sevgi ve ilgisini kazanmak:<i> 'Tevfik Bey'in gözüne girdiğini de etraflıca anlattı.' -</i>T. Buğra.,göz,Deyim,
2852,(birinin) gözünü açmak, birinin gözünü açmak göz,"görüşünü değiştiren bilgi vermek, uyarmak.",göz,Deyim,
2853,(birinin) gözünü korkutmak, birinin gözünü korkutmak göz,yıldırmak:<i> 'Şimdiden gözünü korkutmazsan ileride büsbütün başa çıkılmaz bu bacaksızlarla.' -</i>N. Cumalı.,göz,Deyim,
2854,(birinin) gözünün (gözlerinin) içine bakmak, birinin gözünün gözlerinin içine bakmak göz,1) bir kimsenin üstüne titremek; 2) buyruğunu yerine getirmeye hazır bulunmak; 3) bir arzunun gerçekleşmesi için gözleriyle birine yalvarmak.,göz,Deyim,
2855,(birinin) gözünün yaşına bakmamak, birinin gözünün yaşına bakmamak göz,"acımamak, merhamet etmemek.",göz,Deyim,
2856,(birinin) günahına girmek (günahını almak), birinin günahına girmek günahını almak günah,"1) birisi için haksız olarak kötü düşünmek, kuşkulanmak:<i> 'Ne yazık, günahına girdim bu halkın demin / Zehir nefesleri var bu seslerde matemin' -</i>F. N. Çamlıbel. 2) iftira etmek.",günah,Deyim,
2857,(birinin) günahını çekmek, birinin günahını çekmek günah,birinin yaptığı veya birine karşı yapılan kötülüğün cezasını görmek.,günah,Deyim,
2858,(birinin) güzel hatırı için, birinin güzel hatırı için güzel,"yüzünden, sebebiyle:<i> 'İnanınız ki müdürün güzel hatırı için işime başladım.' -</i>M. Ş. Esendal.",güzel,Deyim,
2859,(birinin) harcı olmamak, birinin harcı olmamak harç,"bir iş, birinin yapabileceği nitelikte olmamak:<i> 'Gitmeyin, uzaktan davulun sesi hoş gelir, yazı yaban, sizin harcınız değil, dedik.' -</i>O. Kemal.",harç,Deyim,
2860,(birinin) hatırı için, birinin hatırı için hatır,"bir kimsenin, gönlü hoş olsun diye:<i> 'Ama bunca eziyete sırf oğlunun hatırı için katlandığına emin değildi artık.' -</i>A. Kulin.",hatır,Deyim,
2861,(birinin) hatırı kalmak, birinin hatırı kalmak hatır,"gücenmek, kırılmak:<i> 'Eve geldiğiniz, gittiğiniz, bir yerde rastlaştığımız zaman elimi saygıyla öpmezseniz hatırım kalır.' -</i>N. Hikmet.",hatır,Deyim,
2862,(birinin) hatırından çıkmamak, birinin hatırından çıkmamak hatır,"sevdiği, saydığı birinin isteğini reddetmeyip gönlünü kırmaktan çekinmek.",hatır,Deyim,
2863,(birinin) hatırını kırmak, birinin hatırını kırmak hatır,"üzmek, gücendirmek.",hatır,Deyim,
2864,(birinin) havası olmak, birinin havası olmak hava,bir kimsenin albenisi veya cana yakınlığı olmak.,hava,Deyim,
2865,(birinin) hesabına gelmek, birinin hesabına gelmek hesap,"yararına uygun, elverişli olmak.",hesap,Deyim,
2866,(birinin) hışmına uğramak, birinin hışmına uğramak hışım,birinden zulüm görmek.,hışım,Deyim,
2867,(birinin) hoşuna gitmek, birinin hoşuna gitmek hoş,beğenmek:<i> 'Zamanları yararak hatta zamanı geriye doğru sürerek kendisini bulmam hoşuna gitmişti.' -</i>A. Kabaklı.,hoş,Deyim,
2868,(birinin) huyuna suyuna gitmek, birinin huyuna suyuna gitmek huy,"birini kızdırmayacak veya ürkütmeyecek biçimde uysalca davranmak, alışkanlıklarına, isteklerine uygun davranışlarda bulunmak.",huy,Deyim,
2869,(birinin) içini okumak, birinin içini okumak iç,"birinin gizli, saklı düşüncelerini anlamak:<i> 'Çökük gözlerinin arkasında insanın içini ezberden okuyan bir hayat sezişi var.' -</i>H. E. Adıvar.",iç,Deyim,
2870,(birinin) içini sarmak, birinin içini sarmak iç,"sürekli düşünmek, hep onunla meşgul olmak:<i> 'Saat dokuza yaklaşırken onun içini bir bayram sevinci sarardı.' -</i>H. Taner.",iç,Deyim,
2871,(birinin) ifadesini almak, birinin ifadesini almak ifade,"1) sorguya çekmek:<i> 'Komiser Efendi, masanın başına oturup ifadesini almaya başladığı zaman ayağa kalktı.' -</i>R. N. Güntekin. 2) görgü tanığının anlattıklarını yazmak; 3)<i> argo</i> tepelemek; 4)<i> argo</i> üstün gelmek, yenmek.",ifade,Deyim,
2872,(birinin) iltiması olmak, birinin iltiması olmak iltimas,"arkası, kayırıcısı olmak.",iltimas,Deyim,
2873,(birinin) ipini çekmek, birinin ipini çekmek ip,birini ölçülü davranmaya zorlamak.,ip,Deyim,
2874,(birinin) ipiyle kuyuya inilmez, birinin ipiyle kuyuya inilmez ip,'kendisine güvenilmez' anlamında kullanılan bir söz:<i> 'O tüysüz keratanın ipiyle kuyuya inilmez.' -</i>A. İlhan.,ip,Deyim,
2875,(birinin) ismini vermek, birinin ismini vermek isim,adını vermek.,isim,Deyim,
2876,(birinin) işi başından aşmak (aşkın olmak), birinin işi başından aşmak aşkın olmak iş,pek çok işi olmak.,iş,Deyim,
2877,(birinin) işi rast gitmek, birinin işi rast gitmek iş,"şans yardımıyla işi iyi, istediği gibi olmak.",iş,Deyim,
2878,(birinin) işini bitirmek, birinin işini bitirmek iş,<i> argo</i> öldürmek.,iş,Deyim,
2879,(birinin) iştahı açılmak, birinin iştahı açılmak iştah,yemek isteği artmak.,iştah,Deyim,
2880,(birinin) iştahı kabarmak, birinin iştahı kabarmak iştah,"isteği çoğalmak, heveslenmek:<i> 'Derken, yavaş yavaş benim de iştahım kabarmaya başladı.' -</i>R. N. Güntekin.",iştah,Deyim,
2881,(birinin) izinden yürümek, birinin izinden yürümek iz,birine içten bağlanarak onun başladığı işi aynı anlayışla sürdürmek.,iz,Deyim,
2882,(birinin) izine basmak, birinin izine basmak iz,<i> esk.</i> gözden uzaklaştırmayarak ne yaptığını gözetlemek.,iz,Deyim,
